Obs_Date_Local,Observatory,Name,Catalog,BJD0_JD,Eclipse_Time_UTC,Type,Altitude_deg,Period_days,RAJ2000,DEJ2000,Mag
2026-06-07,ETAMU,KIC 06697716,Kepler,2454965.580655,2026-06-08 04:40:19.987,Secondary,40.4,1.443249,293.59468,42.14311,14.42
2026-06-07,ETAMU,KIC 11245381,Kepler,2454953.641745,2026-06-08 04:40:34.044,Primary,42.2,0.3069917,292.47928,48.91672,12.86
2026-06-07,ETAMU,KIC 09843435,Kepler,2454999.967074,2026-06-08 04:40:52.776,Primary,39.2,1.6847087,296.62154,46.67044,14.78
2026-06-07,ETAMU,KIC 11566174,Kepler,2454964.604431,2026-06-08 04:41:27.975,Secondary,40.6,0.2768752,295.26825,49.56631,14.96
2026-06-07,ETAMU,KIC 01433980,Kepler,2455000.366398,2026-06-08 04:41:54.120,Secondary,40.9,1.5926344,291.76632,37.09718,14.91
2026-06-07,ETAMU,KIC 10350225,Kepler,2454964.827478,2026-06-08 04:42:22.356,Primary,40.1,0.2820697,295.80233,47.43986,14.78
2026-06-07,ETAMU,KIC 10395609,Kepler,2454964.760545,2026-06-08 04:42:34.123,Primary,45.6,0.364254,287.72983,47.59734,14.52
2026-06-07,ETAMU,KIC 03545476,Kepler,2454964.739951,2026-06-08 04:42:47.221,Primary,41.6,0.3176886,291.66326,38.64404,14.82
2026-06-07,ETAMU,KIC 07767774,Kepler,2455007.740259,2026-06-08 04:42:57.576,Secondary,39.1,0.1733883,296.4773,43.47477,12.51
2026-06-07,ETAMU,KIC 10934755,Kepler,2454964.84245,2026-06-08 04:43:15.185,Secondary,39.2,0.7864843,297.70754,48.33769,14.4
2026-06-07,ETAMU,KIC 10857342,Kepler,2455005.26457,2026-06-08 04:43:19.034,Primary,44.3,2.4159252,290.01154,48.24421,14.47
2026-06-07,ETAMU,KIC 08904448,Kepler,2454965.055247,2026-06-08 04:44:37.904,Secondary,38.7,0.8659827,297.88151,45.12637,13.88
